p_id,prs,code_reviews
35306757,0,0
6140555,0,0
43974222,0,0
7454695,0,0
15915074,0,0
2373478,0,0
1946361,0,0
13976852,0,0
6535694,0,0
3029984,0,0
30346329,0,0
5185099,0,0
17305148,0,0
6429758,0,0
38823454,0,0
18041070,0,0
183891,0,0
2367175,0,0
6089133,0,0
315855,0,0
141515,0,0
7205033,0,0
13099309,0,0
3598535,0,0
6274256,0,0
34070742,0,0
35437200,0,0
14011908,0,0
43690466,0,0
30200842,0,0
123158,0,0
6578128,0,0
6022674,0,0
145576,0,0
35802745,0,0
13426096,0,0
30732191,0,0
7304822,0,0
12902210,0,0
29801194,0,0
18570016,0,0
13790734,0,0
12616383,0,0
4330736,0,0
5020105,0,0
27767268,0,0
11174115,0,0
18150489,0,0
29127616,0,0
34518359,0,0
9639875,0,0
32200368,0,0
11352559,0,0
27352499,0,0
28686295,0,0
29213177,0,0
20542805,0,0
4753138,0,0
948678,0,0
16727071,0,0
13136941,0,0
19735321,0,0
10834804,0,0
10856357,0,0
13481995,0,0
34116125,0,0
1436274,0,0
6276305,0,0
2258946,0,0
39581768,0,0
30485214,0,0
462571,0,0
7030958,0,0
22145776,0,0
21717318,0,0
25207533,0,0
12816319,0,0
21353511,0,0
12451382,0,0
12473241,0,0
13963359,0,0
15617205,0,0
27725074,0,0
24307621,0,0
4627670,0,0
4799753,0,0
32030316,0,0
32088177,0,0
35630850,0,0
43391078,0,0
1366592,0,0
14385171,0,0
20699565,0,0
4686027,0,0
14980789,0,0
13105140,0,0
21655763,0,0
1685638,0,0
9408427,0,0
35929602,0,0
36292650,0,0
36683079,0,0
6303670,0,0
10711,0,0
9319498,0,0
42037525,0,0
8671624,0,0
8595840,0,0
199104,0,0
6779236,0,0
15409065,0,0
27408632,0,0
28174605,0,0
10164723,0,0
14128378,0,0
13375721,0,0
2410167,0,0
34029946,0,0
15853596,0,0
6976114,0,0
36749816,0,0
313203,0,0
25526180,0,0
15095162,0,0
27958745,0,0
13130856,0,0
24142347,0,0
20840733,0,0
14704669,0,0
314959,0,0
5320021,0,0
3385256,0,0
10853720,0,0
27429201,0,0
72978,0,0
12225142,0,0
5395631,0,0
1600367,0,0
1504264,0,0
26813021,0,0
4638110,0,0
28537853,0,0
16470060,0,0
19537288,0,0
7658510,0,0
31352602,0,0
32141429,0,0
33882840,0,0
41034175,0,0
41575779,0,0
41249051,0,0
4701329,0,0
18917296,0,0
7757037,0,0
10957694,0,0
30975065,0,0
101800,0,0
9193788,0,0
30604088,0,0
23622280,0,0
33519091,0,0
12930225,0,0
8494831,0,0
17181105,0,0
16605000,0,0
2527948,0,0
20757563,0,0
5814056,0,0
520533,0,0
13748458,0,0
27757733,0,0
10381019,0,0
15236259,0,0
8852933,0,0
7037001,0,0
37740034,0,0
25047701,0,0
4917438,0,0
24247291,0,0
15530706,0,0
10953301,0,0
22083092,0,0
28317997,0,0
11807334,0,0
804267,0,0
18096397,0,0
13947312,0,0
15156228,0,0
37279113,0,0
32969023,0,0
1997698,0,0
10739492,0,0
4117350,0,0
1868115,0,0
39033206,0,0
30698727,0,0
8777551,0,0
14538118,0,0
7002205,0,0
26052405,0,0
15088262,0,0
9951736,0,0
5156013,0,0
11648517,0,0
13693738,0,0
18946091,0,0
2697494,0,0
33139674,0,0
2747708,0,0
27978,0,0
39965869,0,0
38472500,0,0
39890208,0,0
42921025,0,0
38480670,0,0
44000832,0,0
41103940,0,0
28348499,0,0
24940822,0,0
5391958,0,0
14476317,0,0
13468225,0,0
19556401,0,0
23680170,0,0
18642395,0,0
52655,0,0
8891600,0,0
14485385,0,0
8793882,0,0
