p_id,median_tbc,mean_tbc
29852315,0,5
29933451,0,0
30005561,0,0.5
30094855,3,6.25
30166589,0,0
30211031,0,0
30237508,0,0
30258031,0,5.238095238
30451319,0,0
30466141,0,0.25
30551455,0,0
30582852,0,0
30593353,0,0.869565217
30508510,0,0.2
30885387,1,52.5
30924876,1,1.571428571
30979583,0,0.75
30979613,0,4.851851852
31004958,1,1.333333333
31090510,0,6.5
31139846,0,1.166666667
31211553,0,0
31264645,0,0
30836287,65,65
31332284,0,0.545454545
31354385,0,0
31432526,7,7
31442610,0,0
31463744,0,0.506024096
31473264,0,23.25
31556312,0,0.4
31586482,4,6.8
31639349,1,2.8
31657984,0,0
31663679,0,0
31767752,0,0.25
35942440,4,7.933333333
31780150,1,1.5
31818939,0,0
31867184,0,0
31876454,5,9.333333333
31954842,1,1
31970513,0,0
31971067,17,28
31977645,0,0.818181818
35176452,0,0.621621622
32120474,0,0
32157312,0,0
32165629,0,0
32200847,0,0
32202521,0,0.25
32217400,0,0
32229936,0,0
32222696,0,9.333333333
32349498,0,1.375
32483518,0,0
32676558,0,0
32951503,0,3
32811316,0,0
32829704,0,0.869565217
32891671,0,0
32929706,0,0
33063212,0,1.523809524
33098365,3,5.4
33186933,0,0.954545455
33227927,1,4
33235505,0,0
33258027,0,12.61538462
33389645,0,0
33446300,0,0
33477828,0,0.1
33483880,0,0
33566670,0,1.35
33600434,0,0
33641496,1,1
33676414,0,1
33724748,1,5.583333333
33773856,0,0
33778801,0,0
33823266,0,0.8
33881290,0,0
34003038,0,0
34024777,0,0.5
33938947,0,0
34169572,0,21.5
34190381,0,0.583333333
34386222,0,2.069767442
34391719,0,0
34462694,0,0.151515152
34522468,0,0
34523422,0,0
34792507,0,0
34951464,0,1
35170757,0,0
35194922,0,0
35181156,0,0
35227858,0,0
35377579,0,0.7
35494043,0,0
35653887,0,0
40279756,66,66
35941826,0,0.1875
36211512,0,2.703703704
35620136,0,0.199672668
36347533,0,0
36351773,0,0
36410487,0,0
36673126,0,0
36632518,0,6.933333333
36826869,0,2.315789474
36852967,0,4.8
36856045,0,7
36926845,1,0.869565217
37076649,0,0.333333333
37121516,0,2.512820513
37163595,0,0
37393879,0,0
37475368,0,0
37542550,0,1.666666667
37646853,0,0.5
37739269,0,2.095238095
37756042,4,5.333333333
37787610,0,17.2
37819686,0,0
38436577,0,0.75
39187904,0,0
39225811,0,3
39346861,0,0.071428571
39444575,0,0.05
39699218,0,0
39754286,0,0.555555556
39809658,0,0
40064530,0,0
40172792,0,0
32299632,0,0
40279257,0,0
40282737,0,0
40425823,0,0
40439978,0,0
40545245,0,0
40620834,0,0.125
41247031,0,0.111111111
41365062,0,0.5
41211920,0,4
41313462,1,0.6
42419193,0,3.25
40410311,2,2
41494315,0,0.105263158
41586650,0,0
41617523,0,0.714285714
41668112,0,0
