p_id,commits,authors
25638562,23,3
31315306,3,1
11364064,3,1
6041357,2,2
11661618,11,1
19961185,14,1
34856304,18,1
2502297,2,1
30542797,14,1
43066066,8,1
7201026,2,1
25735043,7,1
439584,44,1
10745431,12,2
164283,22,1
4194246,8,2
41081206,33,1
19153889,2,1
31508300,13,1
6274667,2,1
30159353,3,1
7812041,8,2
4918534,4,1
18586753,2,1
22788515,10,1
105478,2,2
37324183,21,2
16059420,43,2
12062284,7,3
15961194,2,1
3804702,7,1
12082416,20,2
5785292,14,2
35955035,5,3
40094409,2,2
44747435,3,1
13131675,2,2
34492351,2,1
16930978,17,1
15169449,3,2
29438567,3,1
14646296,2,1
20023291,7,2
29134364,13,1
2835614,2,1
31342717,24,1
7146077,35,1
31058079,5,1
9483351,2,1
5767067,139,7
42594117,2,1
40962149,9,1
36937330,2,1
35949694,6,1
13604533,6,1
34705272,4,1
30002231,19,1
24838784,5,2
15519171,10,1
32733959,258,1
22287770,11,3
30510104,2,1
43085999,4,1
8173980,60,1
26216230,3,2
39091005,2,1
16275425,9,1
26956162,4,1
9695118,2,1
6617594,4,1
26143523,29,2
38516325,6,1
28040797,2,1
6948801,71,2
23067794,13,2
4636049,17,2
31029734,2,1
11474526,3,1
6567160,103,3
3790310,20,1
36715427,7,1
18896154,2,1
13952856,39,1
4436283,2,2
28055439,2,1
4905953,4,1
37781128,21,1
6598478,22,3
34174177,2,1
9772934,1367,28
11061483,7,1
18888935,20,1
28206116,16,2
4700089,11,2
20132082,22,2
29652684,3,1
4693267,88,1
21131147,7,1
42822560,6,1
24213142,9,1
19349148,2,2
16475004,5,2
29173520,13,2
30853174,8,1
42140149,3,2
18082542,20,3
9120042,8,1
4564514,3,1
21658570,17,2
15069676,4,1
41858802,4,2
33671743,4,1
9399457,23,1
3609119,62,2
20142854,2,1
224993,9,1
35506482,2,2
28041110,2,1
7067245,17,2
10175111,10,1
13033887,16,1
30343097,40,1
29543966,48,1
11554896,181,6
27443396,59,1
3768893,2,1
44498047,2,1
5644878,207,7
16534527,4,2
14640618,27,1
40862410,3,1
13916683,13,1
22861092,3,1
32768214,10,2
29075877,30,1
8482343,7,1
44738938,2,1
28745202,2,1
12254838,3,1
43020652,2,1
10082210,20,2
32586932,2,1
12259514,8,1
14144496,5,1
36949859,6,1
